Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
Query the operator type,Minor,admin,"	16/09/2025 11:38:48 +03:00",NBIMgmtService,192.168.7.160,Obtain the operator type,Failed,Failed:Query the current operator type
Query Shelf Information,Warning,Khaldount,"	16/09/2025 11:38:47 +03:00",Device Panel Operations,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function: [Configuration Management][Device Panel][Query Shelf Information]
"
Transparent transmission of MML commands,Minor,Khaldount,"	16/09/2025 11:38:38 +03:00",MmlService,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function:[Configuration Management][MML Command]
DSP PSU:CN=0;"
Send Email,Warning,mhammour,"	16/09/2025 11:38:38 +03:00",ScriptModuleService,172.28.129.4,Network Management,Successful,Sender:High Temp Report.
Query Shelf Information,Warning,Khaldount,"	16/09/2025 11:38:30 +03:00",Device Panel Operations,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function: [Configuration Management][Device Panel][Query Shelf Information]
"
Query Shelf Information,Warning,Khaldount,"	16/09/2025 11:38:29 +03:00",Device Panel Operations,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function: [Configuration Management][Device Panel][Query Shelf Information]
"
Query Shelf Information,Warning,Khaldount,"	16/09/2025 11:38:28 +03:00",Device Panel Operations,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function: [Configuration Management][Device Panel][Query Shelf Information]
"
Query Topo Information,Warning,Khaldount,"	16/09/2025 11:38:26 +03:00",Device Panel Operations,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function: [Configuration Management][Device Panel][Query Topo Information]
"
Query Topo Information,Warning,Khaldount,"	16/09/2025 11:38:26 +03:00",Device Panel Operations,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function: [Configuration Management][Device Panel][Query Topo Information]
"
Transparent transmission of MML commands,Risk,Khaldount,"	16/09/2025 11:38:24 +03:00",MmlService,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function:[Configuration Management][MML Command]
ADD PSU:CN=0,SN=2;"
Query Topo Information,Warning,Khaldount,"	16/09/2025 11:38:22 +03:00",Device Panel Operations,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function: [Configuration Management][Device Panel][Query Topo Information]
"
Query Topo Information,Warning,Khaldount,"	16/09/2025 11:38:22 +03:00",Device Panel Operations,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function: [Configuration Management][Device Panel][Query Topo Information]
"
Query Shelf Information,Warning,Khaldount,"	16/09/2025 11:38:11 +03:00",Device Panel Operations,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function: [Configuration Management][Device Panel][Query Shelf Information]
"
Query Topo Information,Warning,Khaldount,"	16/09/2025 11:38:07 +03:00",Device Panel Operations,192.168.19.137,1165-UL_Showaier_Force_PF_M,Successful,"Function: [Configuration Management][Device Panel][Query Topo Information]
"
